brand_id,model_name
23,DS 5
23,DS 7
23,DS 7 Crossback
23,DS 9
24,296GTB
24,308
24,348
24,360 modena
24,360 spider
24,458 Italia
24,488
24,599
24,812 GTS
24,812 Superfast
24,California
24,Enzo
24,F12berlinetta
24,F430
24,F456m
24,F575m maranello
24,F612 scaglietti
24,F8
24,FF
24,GTC4Lusso
24,LaFerrari
24,Mondial 8
24,Portofino
24,Purosangue
24,Roma
24,SF 90
24,Testarossa
25,1100
25,124
25,125
25,126
25,127
25,128
25,131
25,132
25,1400
25,1500
25,1800
25,500
25,500L
25,500X
25,600
25,650
25,750
25,Albea
25,Argenta
25,Barchetta
25,Bertone
25,Brava
25,Bravo
25,Campagnola
25,Cinquecento
25,Coupe
25,Croma
25,Doblo
25,Duna
25,Fiorino
25,Freemont
25,Fullback
25,Idea
25,Linea
25,Marea
25,Multipla
25,Palio
25,Panda
25,Punto
25,Qubo
25,Regata
25,Ritmo
25,Scudo
25,Sedici
25,Seicento
25,Siena
25,Stilo
25,Strada
25,Tempra
25,Tipo
25,Topolino
25,Ulysse
25,Uno
26,12m
26,15m
26,17m
26,20m
26,Aerostar
26,B-Max
26,Bronco
26,C-max
26,Capri
26,Connect
26,Consul
26,Cortina
26,Cosworth
26,Cougar
26,Countur
26,Courier
26,Crown victoria
26,EcoSport
26,Ecoline
26,Edge
26,Escape
26,Escort
26,Everest
26,Excursion
26,Expedition
26,Explorer
26,F150
26,F250
26,F350
26,F450
26,F550
26,F650
26,F750
26,Fiesta
26,Flex
26,Focus
26,Fusion
26,GT
26,Galaxy
26,Granada
26,Grand C-Max
26,Ka
26,Kuga
26,Maverick
26,Mercury
26,Mondeo
26,Mustang
26,Orion
26,Probe
26,Puma
26,Ranger
26,Raptor
26,Rs
26,S-Max
26,Scorpio
26,Sierra
26,Sportka
26,Streetka
26,Taunus
26,Taurus
26,Thunderbird
26,Windstar
26,Zephyr
27,G70
27,G80
27,G90
27,GV60
27,GV70
27,GV80
28,Atlas
28,Atlas Pro
28,Coolray
28,Tugella
29,Acadia
29,Canyon
29,Envoy
29,Jimmy
29,Saturn
29,Savana
29,Sierra
29,Sonoma
29,Terrain
29,Tracker
29,Typhoon
29,Yukon
30,Haval H2
30,Haval H6
30,Hover Cuv
30,Hover H5
30,Hover H6
30,ORA 03
30,Poer
30,Safe
30,Steed 3
30,Steed 5
30,Steed 6
30,Steed 7
30,Voleex C10
30,Voleex C20
30,Voleex C30
30,WEY 03
30,WEY 05
31,Dargo
31,F7x
31,H2
31,H6
31,Jolion
32,Accord
32,Cbr
32,Cbx
32,City
32,Civic
32,Civic ballade
32,Concerto
32,Cr-v
32,Crosstour
32,Crx
32,Crz
32,Electric
32,Element
32,Elysion
32,Fit
32,Fr-v
32,Hr-v
32,Insight
32,Integra
32,Jazz
32,Legend
32,Logo
32,M-NV
32,Nsx
32,Odyssey
32,Passport
32,Pilot
32,Prelude
32,Quintet
32,Ridgeline
32,S2000
32,Shuttle
32,Stream
32,ZR-V
32,e
33,H1
33,H2
33,H3
34,Accent
34,Atos
34,Bayon
34,Coupe
34,Elantra
34,Equus
34,Excel
34,Galloper
34,Genesis
34,Getz
34,Grace
34,Grandeur
34,I10
34,I20
34,I30
34,I40
34,IX35
34,IX55
34,Ioniq
34,Ioniq 5
34,Ioniq 6
34,Ix20
34,Kona
34,Landskape
34,Lantra
34,Matrix
34,Palisade
34,Pony
34,Porter
34,S
34,Santa fe
34,Santamo
34,Sonata
34,Sonica
34,Starex
34,Staria
34,Stelar
34,Tb
34,Terracan
34,Trajet
34,Tucson
34,Veloster
34,Venue
34,Veracruz
34,Xg
35,Ex30
35,Ex35
35,Ex37
35,Fx 30
35,Fx 35
35,Fx 37
35,Fx 45
35,Fx 50
35,Fx45
35,G
35,G coupe
35,G sedan
35,G37
35,I
35,J
35,M
35,Q
35,Q30
35,Q40
35,Q45
35,Q50
35,Q70
35,QX30
35,QX50
35,QX56
35,QX60
35,QX70
35,QX80
35,Qx
35,Qx4
36,Amigo
36,D-max
36,Gemini
36,Piazza
36,Pickup
36,Rodeo
36,Tfs
36,Trooper
36,Vehi cross
37,Massive
38,Ineos Grenadier
39,E-S2
39,E-S4
39,J7
39,JS3
39,JS4
39,JS7
39,T8 PRO
40,Daimler
40,Daimler double six
40,Daimler six
40,E-pace
40,F-PACE
40,F-Type
40,I-Pace
40,S-type
40,Sovereign
40,Super v8
40,X-type
40,XE
40,Xf
40,Xj
40,Xjr
40,Xjs
40,Xjsc
40,Xk8
40,Xkr
41,Avenger
41,Cherokee
41,Commander
41,Compass
41,Grand Wagoneer
41,Grand cherokee
41,Patriot
41,Renegade
41,Wrangler
42,Avella delta
42,Cadenza
42,Carens
42,Carnival
42,Ceed
42,Cerato
42,Clarus
42,EV6
42,EV9
42,Forte
42,Joecs
42,Joyce
42,K3
42,K5
42,K7
42,K8
42,K9
42,Magentis
42,Mohave
42,Morning
42,Niro
42,Opirus
42,Optima
42,Picanto
42,Pride
42,Pro ceed
42,Quoris
42,Ray
42,Retona
42,Rio
42,Sedona
42,Seltos
42,Sephia
42,Shuma
42,Sorento
42,Soul
42,Spectra
42,Sportage
42,Stinger
42,Stonic
42,Telluride
42,Venga
42,Visto
42,X-Trek
42,XCeed
43,Koenigsegg CC Prototype
43,Koenigsegg CC8S
43,Koenigsegg CCR
43,Koenigsegg CCX
43,Koenigsegg CCGT
43,Koenigsegg CCXR
43,Koenigsegg CCX Edition
43,Koenigsegg CCXR Edition
43,Koenigsegg CCXR Special
43,Koenigsegg CCXR Trevita
43,Koenigsegg Agera
43,Koenigsegg Agera R
43,Koenigsegg Agera S
43,Koenigsegg One:1
43,Koenigsegg Agera RS
43,Koenigsegg Agera Final Edition
43,Koenigsegg Regera
43,Koenigsegg Jesko
43,Koenigsegg Jesko Absolut
43,Koenigsegg Gemera
43,Koenigsegg CC850
44,1200
44,1300
44,1500
44,1600
44,2101
44,21011
44,21012
44,21013
44,21015
44,2102
44,2103
44,2104
44,21043
44,2105
44,21051
44,21053
44,2106
44,21061
44,21063
44,2107
44,21074
44,2108
44,21083
44,2109
44,21093
44,21099
44,2110
44,21213
44,Granta
44,Kalina
44,Niva
44,Nova
44,Oka
44,Priora
44,Samara
44,Travel
44,Urban
44,Vesta
44,XRAY
45,Aventador
45,Countach
45,Diablo
45,Gallardo
45,Huracan
45,Murcielago
45,Reventon
45,Revuelto
45,Urus
45,Veneno
46,A112
46,Ardea
46,Aurelia
46,Beta
46,Dedra
46,Delta
46,Flaminia
46,Flavia
46,Fulvia
46,Kappa
46,Lybra
46,Musa
46,Phedra
46,Prisma
46,Thema
46,Thesis
46,Unior
46,Voyager
46,Y
46,Y10
46,Ypsilon
46,Zeta
47,Defender
47,Discovery
47,Discovery Sport
47,Evoque
47,Freelander
47,Range Rover Evoque
47,Range Rover Sport
47,Range Rover Velar
47,Range rover
48,CT 200h
48,ES-Series
48,ES 300
48,ES 330
48,ES 350
48,GS-Series
48,GS 200t
48,GS 250
48,GS 300
48,GS 350
48,GS 430
48,GS 450h
48,GS 460
48,GS F
48,GX-Series
48,GX 460
48,GX 470
48,GX 550
48,IS-Series
48,IS 200
48,IS 220d
48,IS 250
48,IS 300
48,IS 350
48,IS F
48,LBX
48,LC-Series
48,LC 500
48,LC 500h
48,LC F
48,LFA
48,LS-Series
48,LS 400
48,LS 430
48,LS 460
48,LS 500
48,LS 600
48,LX-Series
48,LX 450d
48,LX 470
48,LX 500d
48,LX 570
48,LX 600
48,NX-Series
48,NX 200t
48,NX 300
48,NX 300h
48,NX 350h
48,NX 450
48,RC-Series
48,RC 200t
48,RC 300h
48,RC 350
48,RC F
48,RX-Series
48,RX 200t
48,RX 300
48,RX 330
48,RX 350
48,RX 350h
48,RX 400
48,RX 400h
48,RX 450
48,RX 450h
48,RX 450h plus
48,RX 500
48,RX 500h
48,RZ
48,SC-Series
48,SC 400
48,SC 430
48,TX 350
48,UX-Series
48,UX 200
48,UX 250h
48,UX 300e
48,UX 300h
49,Aviator
49,Continental
49,Ls
49,MKC
49,MKS
49,MTK
49,Mark
49,Mark Lt
49,Mkx
49,Mkz
49,Navigator
49,Town car
49,Zephyr
50,Elise
50,Europe
50,Evora
50,Exige
50,Eletre
50,Emira
51,01
51,Linc & Co
51,Link & Co
52,Armada
52,Bolero
52,Cl
52,Commander
52,Goa
52,KUV 100
52,Marshall
52,Quanto
52,Scorpio
52,XUV 500
53,3200 gt
53,Biturbo
53,Coupe gt
53,Ghibli
53,GranCabrio
53,GranTurismo
53,Gransport
53,Grecale
53,Levante
53,MC20
53,Quattroporte
53,Spyder
53,Zagato
54,57
54,62
54,650
54,S 560
54,S580
55,121
55,2
55,3
55,323
55,5
55,6
55,626
55,929
55,B2200
55,B2500
55,B2600
55,BT-50
55,CX-30
55,CX-5
55,CX-60
55,CX-7
55,CX-9
55,Demio
55,MX-30
55,Mpv
55,Mx-3
55,Mx-5
55,Mx-6
55,Premacy
55,Rx-7
55,Rx-8
55,Tribute
55,Xedos
55,СХ-3
56,540C Coupe
56,570S Coupe
56,650S
56,675LT
56,720 S
56,F1
56,GT
56,MP4-12C
56,P1
57,110
57,111
57,113
57,114
57,115
57,116
57,123
57,124
57,126
57,126-260
57,150
57,170
57,180
57,190
57,200
57,220
57,230
57,240
57,250
57,260
57,280
57,290
57,300
57,320
57,350
57,380
